"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject","mid","date","view_history","question","qtype","index"
"218238","{""Q0"":""This shows the mustard yellow background of the scene."",""Q1"":""This shows the base of the left lightbulb"",""Q2"":""This shows smaller shards of glass near the left lightbulb."",""Q3"":""This shows large shards of glasses of glass in the bottom center of the image."",""Q4"":""This shows the coils on the broken right light bulb."",""Q5"":""This shows large pieces of broken glass and the lower part of the base of the right light bulb."",""Q6"":""This shows the base of the right light bulb which appears to be more in tact and pieces of glass below it."",""Q7"":""This shows the bottom of the glass of the right light bulb and part of its base with a large shard of glass sticking up behind it."",""Q8"":"""",""Q9"":""""}","survey-text","10","10473684","0.0-10.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","3"
"57852193","{""Q0"":""This image shows a man navigating a body of water in a boat. The picture is taken from behind the man and is overlooking the water. The man is surrounded by many computers.""}","survey-text","11","68326886","0.0-11.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","4"
"170399","{""Q0"":""this image shows the left side ceiling of the room."",""Q1"":""This image is looking out of a window to the ocean and shows valves in the control center of the boat"",""Q2"":""This shows the back of the man's head and the window directly ahead of him."",""Q3"":""This image shows the middle right portion of the top of the cabin. We can see technology on the ceiling and partially see out of the window."",""Q4"":""this image shows various computer screens portraying different information"",""Q5"":""This image shows a thin rectangular band of the ceiling on the right side"",""Q6"":""This image shows the water through the right most image and the technology above it."",""Q7"":"""",""Q8"":"""",""Q9"":""""}","survey-text","12","68498302","0.0-12.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","4"
"18719133","{""Q0"":""This image shows two children sitting on the ground in their family room. They are watching tv with a Santa figurine between them. Through the window behind them a shed and car can be seen""}","survey-text","13","87218445","0.0-13.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","5"
"183678","{""Q0"":""This shows the upper left corner of the ceiling."",""Q1"":""This shows a rocking chair next to the Tv."",""Q2"":""This shows the cartoon on the television that the children are watching."",""Q3"":""This shows the child on the left with the Santa figurine next to him on the right. There's a toy on the chair in front of in front of the window."",""Q4"":""This shows the children on the right with the Santa figurine to his left. A cushioned chair is in the right corner of the room."",""Q5"":""This shows a zoomed in pixelated picture of the rug behind the child on the right."",""Q6"":""This shows the edge of the jacket worn by the child on the right, the red carpet on the floor and the cushioned chair"",""Q7"":"""",""Q8"":"""",""Q9"":""""}","survey-text","14","87403149","0.0-14.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","5"
"450093","{""Q0"":""This shows a street band performing outside of an outdoor mall. There are people leisurely strolling behind them. A woman is playing the accordion, a man is playing clarinet, another the guitar, and another an upright bass.""}","survey-text","15","87854252","0.0-15.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","6"
"429412","{""Q0"":""Picture one shows a man in an orange jacket walking forward past the performers, a man in a blue long sleeve shirt walking behind them, an d a man with a backpack one walking into a store."",""Q1"":""Image two shows a wind instrument sitting in a stand not being played. The women playing the accordion and the man in the orange jacket's legs can be seen."",""Q2"":""This shows the upper half of the  body of the woman playing the accordion."",""Q3"":""This shows a man playing a clarinet and holding it up."",""Q4"":""This shows the torso and legs of the man playing the clarinet"",""Q5"":""This shows the lower middle of the bass and the legs of the three men playing instruments."",""Q6"":""This shows the bottom of the bass and its stand as well as the bass players lower legs and shoes."",""Q7"":""This shows the middle of the bass and the bass player and the guitar players' pelvis/torso region."",""Q8"":""This shows the bass players head and where he hold the neck of the base as well as some people gathered behind  watching them play."",""Q9"":""""}","survey-text","16","88284671","0.0-16.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","6"
"5208764","{""Q0"":""This image portrays a common area in an apartment. On the left is a full bookshelf with a guitar on top. In the middle is a TV stand filled with movies and games with a TV on top. And on the left is a kitchen table.""}","survey-text","17","93494443","0.0-17.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","7"
"237992","{""Q0"":""This shows the front right leg of the kitchen table and the bottom of two chairs at the table."",""Q1"":""This shows most of the kitchen table and chairs and a picture on the wall above the table."",""Q2"":""This shows the left side of the TV stand with the TV that has toys on top and some films in the lower compartment."",""Q3"":""This shows the right side of the TV stand with a DVD player on top and games in the lower compartment. There is also a mask like art piece hanging on the wall."",""Q4"":""This shows the upper left quadrant of the book shelf. There is a guitar and other various items on top and lots of reading material on the shelves."",""Q5"":""This shows the lower 3/4 of the bookshelf full of reading material."",""Q6"":""This shows the lower right quadrant of the bookshelf full of reading material with red bucket in front of it."",""Q7"":"""",""Q8"":"""",""Q9"":""""}","survey-text","18","93733449","0.0-18.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","7"
"5548105","{""Q0"":""This image shows two men running hurdles. The man on the left is white and is in a blue Air Force uniform. The man on the right is black and is waring glasses and a green Colorado State uniform.""}","survey-text","19","99282565","0.0-19.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","8"
"264164","{""Q0"":""This image shows the man on the right's thigh reaching over the first hurdle."",""Q1"":""This image show sthe man on the right's face and upper chest area with his arm reaching out to the side."",""Q2"":""This image shows the man on the right's groin area and the hurdle below it."",""Q3"":""This image shows both the mens' arms, the man on the right is slight ahead of the man on the left."",""Q4"":""This image shows both of their feet reaching over the hurdle. The man on the right has his foot in front and is wearing bright orange gym shoes."",""Q5"":""This shows three hurdles in a row and is zoomed in on the word \""air\"" printed on them."",""Q6"":""This shows the same three hurdles as above but focuses on the word \""force\"" instead. The man on the right's thigh is pictured crossing the first hurdle."",""Q7"":""This image shows the face of the man on the right. He looks determined and his arm is swung out to the side."",""Q8"":""This shows the man on the right's torso and pelvic region. He is wearing a green Colorado State track uniform"",""Q9"":""""}","survey-text","20","99547738","0.0-20.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","8"
"259565386","{""Q0"":""This photo shows a young boy and girl playing in the sand at a park. At the edge of the park behind them is a bunch of trees. The boy, who is on the left, looks happier than the girl, who is on the right.""}","survey-text","21","359114135","0.0-21.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","9"
"233308","{""Q0"":""The first slide shows the boy's torso and arm. He is wearing a black and orange jacket and a red and white scarf is hanging in front of him. His hands are playing in the sand."",""Q1"":""This image shows the boys face smiling at the camera. The orange hood of his jacket is resting on his back"",""Q2"":""This shows a close up image of the sand in the middle front of the image."",""Q3"":""This image shows the girl's hands playing in the sand. She is wearing a green jacket with the sleeves rolled up and white shirt underneath."",""Q4"":""This shows the girl's face looking at the camera. She has a rainbow scarf wrapped around her neck and sweatshirt."",""Q5"":""This shows a zoomed in picture of a wooden tree stump behind the girl."",""Q6"":""This shows the girl's torso bent over the sad. Her sweatshirt is bent up with how her body is hunched."",""Q7"":""This shows the girl's right leg. It's bent and she is wearing jeans. Her gym shoe is purple and white."",""Q8"":"""",""Q9"":""""}","survey-text","22","359348453","0.0-22.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","9"
"48199409","{""Q0"":""This photo shows a girl intently looking at the camera. She appears to be outside with a blurry forest scene behind her. She is wearing bright red lipstick.""}","survey-text","23","407548868","0.0-23.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","10"
"450087","{""Q0"":""This image shows the right side of her face (left side of the image). We can see the edge of her cheek, her ear, and some stray blonde hairs."",""Q1"":""This shows her right cheek again. Some blonde hairs can be seen, as can her shoulder wearing an orange shirt. The trees behind are blurred to focus on her."",""Q2"":""This image focuses on blonde her hair coming over her right shoulder. Her face where her cheek meets her chin can be seen in the top right corner and her orange shirt is visible in the top left corner."",""Q3"":""This focuses on her right eye. She has blue eyes and brown eyebrows. Her nose, forehead, and cheek surrounding the eye are also captured."",""Q4"":""This shows her lips and nose. She is wearing bright red lipstick and appears to be softly smiling with her mouth closed."",""Q5"":""This shows her left eye. Her blonde side bangs are splayed over her eyebrow and part of her eye. The edge of her nose framing her eye is also visible."",""Q6"":""This image shows the left side edge of her face. Her blonde hair is splayed covering the edge of her eyes and her cheek in front of her ear."",""Q7"":""This box shows the edge of her face, her neck, and shirt on her left side. The shirt has ruffles around the neck."",""Q8"":""This blurred image focuses mostly on the scene in the background but some of the girl's hair and shoulder are visible on the left side."",""Q9"":""""}","survey-text","24","407999964","0.0-24.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","10"
"5449836","{""Q0"":""This image has a large group of people at some sort of festival. People in the back are lined up against a rail. People in the front are tossing and organizing orange spherical objects that look like grapefruit.""}","survey-text","25","413450812","0.0-25.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","11"
"356639","{""Q0"":""The first image shows a man on the middle left of the image. He is wearing a white shirt, a red scarf, and a straw hat. His hands are in front of him to catch something."",""Q1"":""This shows a man sitting in the front left of the image. He is wearing a blue shirt, a red scarf, and a black hat. The man in white is seen behind him. To the right grapefruits can be seen on a red stand."",""Q2"":""This shows the man in the middle of the image's hands arranging the grapefruits on the red stand."",""Q3"":""This image shows a blonde woman in the middle of the image in a blue shirt. She is looking back at the people tossing the grapefruit."",""Q4"":""This image shows a pair of hands tossing grapefruit and a pair of hands reaching out to catch them. A man in all white is in the background."",""Q5"":""This shows the leg's of the man in the center of the image. He's kneeling on some sort of bench with green felt in front of his legs."",""Q6"":""This shows a man on the right side of the image in all white. He is looking down at the people tossing and catching the grapefruit."",""Q7"":""This shows the man tossing the grapefruit. He is tan with gray hair wearing a red scarf and a blue shirt."",""Q8"":""This is zoomed in on the torso/stomach region of the man tossing the grapefruit. His blue shirt hangs out a bit."",""Q9"":""This is a pixelated image of somebody in the line in the back's arm.""}","survey-text","26","413808460","0.0-26.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","11"
"47365","{""Q0"":""This image is a black and white picture of an office scene. A man is sitting at a desk working on a computer with his back to the camera on the right side. There are more desks on the left side and posters on the wall.""}","survey-text","27","413856835","0.0-27.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","12"
"376161","{""Q0"":""This image shows the left side of the image. The neck of a lamp, the left most poster on the wall, and the desk in the back left corner can be seen."",""Q1"":""This shows the lamp head/shade and a poster in the background on the left side of the back wall."",""Q2"":""This focuses on the on the 2 desks on the left side side of the room. The one in the back has a computer and a lamp. The one closer to the camera has typical desk supplies on it."",""Q3"":""This image focuses on the back of the man working on the computer. There is a poster above the computer."",""Q4"":""This image shows the wall on the right side of the room. The tip of a laptop can be seen in the bottom corner and so can a monitor in the top corner"",""Q5"":""This shows the ground on the right corner next to the man working at his desk. Part of his desk chair can be seen along with the stand his laptop is on and a bag on the floor."",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":""""}","survey-text","28","414234002","0.0-28.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","12"
"7813936","{""Q0"":""This is a picture of a parade. There are observers on both sides and some are taking pictures or videos. The woman in the front and center of the parade is wearing all black and the rest are wearing all white with red and green accessories. Some are playing instruments.""}","survey-text","29","422048950","0.0-29.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","13"
"194558","{""Q0"":""This image shows observers on the left side of the image. The girl closest to the camera has her hair in a ponytail and is taking pictures on her phone. The man next to her has his arms crossed."",""Q1"":""This captures the left center of the image. The woman in all black is on the rightmost side and a young girl is walking next to her. There is another child behind this one and people playing instruments behind them."",""Q2"":""This captures the right side of the image. Children and an adult are walking next to the woman in all black and people playing instruments are behind them. There's a woman in a black top filming them pass by."",""Q3"":""This shows the feet of the people in front of the parade. The woman in all black is in the center and wearing black boots. Those around her are wearing gold clogs."",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":""""}","survey-text","30","422244525","0.0-30.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","13"
"4612222","{""Q0"":""This image shows a man who appears to be slightly smirking while looking at the camera. He has brown curly hair, green eyes, and facial hair. He is wearing a green shirt.""}","survey-text","31","426857759","0.0-31.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","14"
"250600","{""Q0"":""This shows the right side of the man's face (left side fo the picture). His hair, beard, ear, and corner of his eye are visible."",""Q1"":""This shows a close up image of the man's right eye. His hair and ear are visible on one side, his cheek below, and his nose on the other side."",""Q2"":""This shows the top of the man's head. His forehead, hairline, and hair are the primary focus."",""Q3"":""This shows the bottom of the man's face and his neck. The corners of a green t-shirt can be seen."",""Q4"":""This shows the man's face on the right side of the image. His eye is the center focus, surrounded by his nose, forehead, ear and hair, and cheek."",""Q5"":""This show's the bottom right side of the man in the picture's face and  his neck. His beard can be seen as can the green shirt."",""Q6"":""This shows the wall behind the man on the right side of the image."",""Q7"":""This shows the wall behind the man on the right side of the image."",""Q8"":""This shows the wall behind the man on the right side of the image."",""Q9"":""""}","survey-text","32","427109376","0.0-32.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","14"
"5427360","{""Q0"":""This image depicts a women's volleyball game. There a college flags hung up against the wall above the crowd. The team on the right is wearing white a blue uniforms and the team on the left is wearing black and gray uniforms.""}","survey-text","33","432537747","0.0-33.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Description","15"
"283364","{""Q0"":""The first picture captures the girl on the left most side of the picture. She has her hair in a brain and her arm is bent."",""Q1"":""This picture captures the Colorado State school flag hanging against the back wall on the left."",""Q2"":""This picture shows a girl on the blue and white team from the chest up. She's jumping in the air and her arm is up to spike the ball."",""Q3"":""This shows the lower half of the body of the girl jumping up in the air. She's wearing black spandex and has knee pads on."",""Q4"":""This shows the torso of the girl jumping. Her nondominant arm is bent and against her stomach."",""Q5"":""This shows the New Mexico college flag against the back wall in the middle on the right."",""Q6"":""This shows the top of the net and the volleyball going over it. A girl on the team in black is jumping up to block it and her arms can be seen in the shot."",""Q7"":""This shows another girl on the team in black. She is ready to jump in to action if her other teammate needs."",""Q8"":""This shows the upper half of the girl going up for the block. She has blonde hair in a ponytail and her arms are stretched above and in front of her."",""Q9"":""""}","survey-text","34","432822121","0.0-34.0","wfl43m5pun3s2ctgkwbmccljor5vxobl","DaniellePratt","1557350436383","","","Labeling","15"
